gene	conMean	treatMean	logFC	pValue	fdr
MTX2	4.74772156	5.53155535729947	0.783833797299466	3.23410359423397e-21	2.16415432180823e-20
CD4	5.05970274	3.95190402446524	-1.10779871553476	1.83888438095479e-18	8.17045560209943e-18
DTNA	2.0459631	2.63147890018717	0.585515800187166	9.06129820291809e-15	2.75330055130291e-14
AARS	5.94791708	6.53305473649733	0.585137656497326	8.71708536753631e-15	2.65327412306851e-14
PLP2	3.96935824	5.32634463639037	1.35698639639037	1.16570191535639e-13	3.21468779842117e-13
RAB3A	2.6103785	3.20755464764706	0.597176147647059	3.3431312084286e-18	1.44683380519597e-17
RNASEH2A	2.51694696	4.05600459377005	1.53905763377005	7.48206246775793e-28	7.10635029867804e-26
MAP1S	2.767061	3.42738758387701	0.660326583877005	2.31156064857285e-18	1.01632728764778e-17
AP2M1	5.93114278	6.82274512336898	0.891602343368984	2.23277518652476e-24	3.06720112326177e-23
MDK	2.58809292	5.62234001820856	3.03424709820856	1.00410337795958e-24	1.5371308730532e-23
CPD	4.22718932	5.32480277606952	1.09761345606952	8.38868827432225e-17	3.13175331898091e-16
CCL25	1.79418264	2.68105653855615	0.88687389855615	1.8546539954502e-10	4.00346010308202e-10
UBE2Q1	5.46036754	6.75435148459893	1.29398394459893	4.05978453731444e-28	5.12286811687121e-26
LSM4	4.41995498	5.59106112895722	1.17110614895722	5.69320797064087e-27	2.52704050274728e-25
OGT	3.90167206	4.69816217088235	0.796490110882353	5.94459414794318e-21	3.78576785211118e-20
SCP2	8.88531268	8.00484084262032	-0.880471837379678	8.6207444235003e-13	2.20460438600979e-12
KPTN	2.90611614	3.6287914905615	0.722675350561497	2.32601263169197e-22	1.8936100991461e-21
TCEA1	5.88211132	6.59780933475936	0.715698014759359	4.4895948640711e-17	1.72785932484056e-16
ADCK2	3.25483098	3.99238243580214	0.737551455802139	1.96393929022874e-22	1.62887096249676e-21
PRPF6	4.7227746	5.60848919299465	0.885714592994653	3.56254207616649e-25	6.39592157698752e-24
NASP	3.86403904	4.58736598572193	0.723326945721925	9.58020083429485e-20	5.02207204565735e-19
LMNB2	2.840033	3.77252397026738	0.93249097026738	6.76165218913394e-25	1.10194970086015e-23
HS3ST3B1	3.61163798	2.83222804508021	-0.779409934919786	5.05079257989047e-14	1.44287357238592e-13
CDKN2C	2.53976184	3.91037374406417	1.37061190406417	3.00756173708983e-28	4.48849311940884e-26
CIRBP	5.5717235	6.31561457435829	0.743891074358289	2.65575740331711e-17	1.04724576533482e-16
DARS2	3.0305379	4.05231662917112	1.02177872917112	1.21304075145005e-23	1.35117136917507e-22
LMNA	4.97914452	6.15217849759358	1.17303397759358	2.92210859070684e-23	2.94982687791012e-22
SARDH	4.91018268	4.06369707697861	-0.846485603021391	1.75877565283076e-17	7.07756963164196e-17
MTMR14	4.38736122	5.03566073491979	0.648299514919787	5.74410928830051e-23	5.38045783070609e-22
GIPC2	3.68785546	3.05648906569519	-0.631366394304813	5.65252890669678e-10	1.17011454963329e-09
RNF113A	4.27572638	5.0483954826738	0.772669102673797	8.18842080176777e-23	7.41068862110806e-22
ZMPSTE24	5.34638162	6.0652055840107	0.718823964010696	7.9035745616662e-19	3.68986649594067e-18
